Source,Target,Type,Weight
Kjell Ingolf Ropstad,Eva Kristin,Directed,1
Kjell Ingolf Ropstad,Linda H. Helleland,Directed,1
Kjell Ingolf Ropstad,Henrik Asheim,Directed,1
Kjell Ingolf Ropstad,Jonas Gahr Støre,Directed,1
Kjell Ingolf Ropstad,Audun Lysbakken,Directed,1
Kjell Ingolf Ropstad,Erling Sande,Directed,1
Kjell Ingolf Ropstad,Kjersti Toppe,Directed,1
Kjell Ingolf Ropstad,Geir Pollestad,Directed,1
Kjell Ingolf Ropstad,Nikolai Astrup,Directed,1
Kjell Ingolf Ropstad,AnetteTrettebergst.,Directed,1
Kjell Ingolf Ropstad,Erlend Wiborg,Directed,1
Kjell Ingolf Ropstad,Lars Haltbrekken,Directed,1
Kjell Ingolf Ropstad,Abid Raja,Directed,1
Kjell Ingolf Ropstad,Anna Molberg,Directed,1
Kjell Ingolf Ropstad,Kari Elisabeth Kaski,Directed,1
Kjell Ingolf Ropstad,Sveinung Rotevatn,Directed,1
Kjell Ingolf Ropstad,Tage Pettersen,Directed,1
Kjell Ingolf Ropstad,Masud Gharahkhani,Directed,1
Kjell Ingolf Ropstad,Hadia Tajik,Directed,1
Kjell Ingolf Ropstad,Mímir Kristjánsson,Directed,1
Kjell Ingolf Ropstad,Åsmund Aukrust,Directed,1
Kjell Ingolf Ropstad,VamPus,Directed,1
Kjell Ingolf Ropstad,Erna Solberg,Directed,1
Kari Elisabeth Kaski,Anniken Huitfeldt,Directed,1
Kari Elisabeth Kaski,Jon-Ivar Nygård,Directed,1
Kari Elisabeth Kaski,Marian Hussein,Directed,1
Kari Elisabeth Kaski,Mudassar Kapur,Directed,1
Kari Elisabeth Kaski,Roy Steffensen   roysteffensen,Directed,1
Kari Elisabeth Kaski,Grunde Almeland,Directed,1
Kari Elisabeth Kaski,Dag-Inge,Directed,1
Kari Elisabeth Kaski,Mari Holm Lønseth,Directed,1
Kari Elisabeth Kaski,Mona Fagerås,Directed,1
Kari Elisabeth Kaski,Freddy André,Directed,1
Kari Elisabeth Kaski,Rigmor Aasrud,Directed,1
Kari Elisabeth Kaski,Helge Andre Njåstad,Directed,1
Kari Elisabeth Kaski,Lene Vågslid,Directed,1
Kari Elisabeth Kaski,Ola Elvestuen,Directed,1
Kari Elisabeth Kaski,Ingrid Fiskaa,Directed,1
Kari Elisabeth Kaski,M Tybring-Gjedde,Directed,1
Kari Elisabeth Kaski,Eva Kristin,Directed,1
Kari Elisabeth Kaski,Eigil Knutsen,Directed,1
Kari Elisabeth Kaski,Jonas Gahr Støre,Directed,1
Kari Elisabeth Kaski,Per-Willy Amundsen,Directed,1
Kari Elisabeth Kaski,Peter Frølich,Directed,1
Kari Elisabeth Kaski,Tina Bru,Directed,1
Kari Elisabeth Kaski,Linda H. Helleland,Directed,1
Kari Elisabeth Kaski,Lene Westgaard-Halle,Directed,1
Kari Elisabeth Kaski,Bård Hoksrud,Directed,1
Kari Elisabeth Kaski,Jan Tore Sanner,Directed,1
Kari Elisabeth Kaski,Rasmus JM Hansson,Directed,1
Kari Elisabeth Kaski,Sivert Bjørnstad,Directed,1
Kari Elisabeth Kaski,Terje Aasland,Directed,1
Kari Elisabeth Kaski,VamPus,Directed,1
Kari Elisabeth Kaski,Mani Hussaini,Directed,1
Kari Elisabeth Kaski,Kjersti Toppe,Directed,1
Kari Elisabeth Kaski,Guri Melby,Directed,1
Kari Elisabeth Kaski,Himanshu,Directed,1
Kari Elisabeth Kaski,Erlend Wiborg,Directed,1
Kari Elisabeth Kaski,Espen Barth Eide,Directed,1
Kari Elisabeth Kaski,AnetteTrettebergst.,Directed,1
Kari Elisabeth Kaski,Lan Marie N. Berg,Directed,1
Kari Elisabeth Kaski,Henrik Asheim,Directed,1
Kari Elisabeth Kaski,Sandra Borch,Directed,1
Kari Elisabeth Kaski,Åsmund Aukrust,Directed,1
Kari Elisabeth Kaski,Bjørnar Moxnes,Directed,1
Kari Elisabeth Kaski,Kamzy Gunaratnam,Directed,1
Kari Elisabeth Kaski,Audun Lysbakken,Directed,1
Kari Elisabeth Kaski,Alfred Jens,Directed,1
Kari Elisabeth Kaski,Hadia Tajik,Directed,1
Kari Elisabeth Kaski,Nikolai Astrup,Directed,1
Kari Elisabeth Kaski,Erling Sande,Directed,1
Kari Elisabeth Kaski,Mímir Kristjánsson,Directed,1
Kari Elisabeth Kaski,Geir Pollestad,Directed,1
Kari Elisabeth Kaski,Abid Raja,Directed,1
Kari Elisabeth Kaski,Erna Solberg,Directed,1
Kari Elisabeth Kaski,Lars Haltbrekken,Directed,1
Kari Elisabeth Kaski,Kjell Ingolf Ropstad,Directed,1
Kari Elisabeth Kaski,Marie Sneve,Directed,1
Masud Gharahkhani,Mímir Kristjánsson,Directed,1
Masud Gharahkhani,M Tybring-Gjedde,Directed,1
Masud Gharahkhani,Elise waagen,Directed,1
Masud Gharahkhani,Sveinung Rotevatn,Directed,1
Masud Gharahkhani,Mudassar Kapur,Directed,1
Masud Gharahkhani,Mani Hussaini,Directed,1
Masud Gharahkhani,Terje Aasland,Directed,1
Masud Gharahkhani,Even A.,Directed,1
Masud Gharahkhani,Sandra Borch,Directed,1
Masud Gharahkhani,Espen Barth Eide,Directed,1
Masud Gharahkhani,Jan Tore Sanner,Directed,1
Masud Gharahkhani,Ingvild Kjerkol,Directed,1
Masud Gharahkhani,Henrik Asheim,Directed,1
Masud Gharahkhani,Tellef Inge Mørland,Directed,1
Masud Gharahkhani,Lise Christoffersen,Directed,1
Masud Gharahkhani,Bjørnar Moxnes,Directed,1
Masud Gharahkhani,Rigmor Aasrud,Directed,1
Masud Gharahkhani,Kari Henriksen,Directed,1
Masud Gharahkhani,Erlend Wiborg,Directed,1
Masud Gharahkhani,Anniken Huitfeldt,Directed,1
Masud Gharahkhani,Marte Mjøs Persen,Directed,1
Masud Gharahkhani,VamPus,Directed,1
Masud Gharahkhani,Erna Solberg,Directed,1
Masud Gharahkhani,Eva Kristin,Directed,1
Masud Gharahkhani,Jon-Ivar Nygård,Directed,1
Masud Gharahkhani,Linda H. Helleland,Directed,1
Masud Gharahkhani,Lene Westgaard-Halle,Directed,1
Masud Gharahkhani,Jonas Gahr Støre,Directed,1
Masud Gharahkhani,Nikolai Astrup,Directed,1
Masud Gharahkhani,Cecilie Myrseth,Directed,1
Masud Gharahkhani,Audun Lysbakken,Directed,1
Masud Gharahkhani,Eigil Knutsen,Directed,1
Masud Gharahkhani,Abid Raja,Directed,1
Masud Gharahkhani,Kamzy Gunaratnam,Directed,1
Masud Gharahkhani,Kjell Ingolf Ropstad,Directed,1
Masud Gharahkhani,Lene Vågslid,Directed,1
Masud Gharahkhani,Hadia Tajik,Directed,1
Masud Gharahkhani,AnetteTrettebergst.,Directed,1
Masud Gharahkhani,Åsmund Aukrust,Directed,1
Sveinung Stensland,Kari Elisabeth Kaski,Directed,1
Sveinung Stensland,Kjell Ingolf Ropstad,Directed,1
Sveinung Stensland,Sivert Bjørnstad,Directed,1
Sveinung Stensland,Guri Melby,Directed,1
Sveinung Stensland,Ola Elvestuen,Directed,1
Sveinung Stensland,Ingvild Kjerkol,Directed,1
Sveinung Stensland,Henrik Asheim,Directed,1
Sveinung Stensland,Olaug Vervik,Directed,1
Sveinung Stensland,M Tybring-Gjedde,Directed,1
Sveinung Stensland,Terje Aasland,Directed,1
Sveinung Stensland,Lise Christoffersen,Directed,1
Sveinung Stensland,Helge Orten,Directed,1
Sveinung Stensland,Erlend Wiborg,Directed,1
Sveinung Stensland,Kjersti Toppe,Directed,1
Sveinung Stensland,Hårek Elvenes,Directed,1
Sveinung Stensland,Helge Andre Njåstad,Directed,1
Sveinung Stensland,Tone Wilhelmsen,Directed,1
Sveinung Stensland,Roy Steffensen   roysteffensen,Directed,1
Sveinung Stensland,Mímir Kristjánsson,Directed,1
Sveinung Stensland,Aleksander Stokkebø,Directed,1
Sveinung Stensland,Peter Frølich,Directed,1
Sveinung Stensland,Sveinung Rotevatn,Directed,1
Sveinung Stensland,Mudassar Kapur,Directed,1
Sveinung Stensland,Mari Holm Lønseth,Directed,1
Sveinung Stensland,Lene Westgaard-Halle,Directed,1
Sveinung Stensland,Geir Pollestad,Directed,1
Sveinung Stensland,Audun Lysbakken,Directed,1
Sveinung Stensland,Tage Pettersen,Directed,1
Sveinung Stensland,Linda H. Helleland,Directed,1
Sveinung Stensland,Jan Tore Sanner,Directed,1
Sveinung Stensland,Jonas Gahr Støre,Directed,1
Sveinung Stensland,VamPus,Directed,1
Sveinung Stensland,Tina Bru,Directed,1
Sveinung Stensland,Nikolai Astrup,Directed,1
Sveinung Stensland,Erna Solberg,Directed,1
Per Vidar Kjølmoen,Espen Barth Eide,Directed,1
Per Vidar Kjølmoen,Jonas Gahr Støre,Directed,1
Per Vidar Kjølmoen,Sveinung Rotevatn,Directed,1
Per Vidar Kjølmoen,Audun Lysbakken,Directed,1
Per Vidar Kjølmoen,Abid Raja,Directed,1
Per Vidar Kjølmoen,Hadia Tajik,Directed,1
Per Vidar Kjølmoen,Erna Solberg,Directed,1
Sveinung Rotevatn,Ingvild Kjerkol,Directed,1
Sveinung Rotevatn,Ingvild Wetrhus Thorsvik,Directed,1
Sveinung Rotevatn,Ingrid Fiskaa,Directed,1
Sveinung Rotevatn,Grunde Almeland,Directed,1
Sveinung Rotevatn,Sofie Marhaug,Directed,1
Sveinung Rotevatn,Masud Gharahkhani,Directed,1
Sveinung Rotevatn,Sivert Bjørnstad,Directed,1
Sveinung Rotevatn,Roy Steffensen   roysteffensen,Directed,1
Sveinung Rotevatn,Lan Marie N. Berg,Directed,1
Sveinung Rotevatn,Jonas Gahr Støre,Directed,1
Sveinung Rotevatn,Kathrine Kleveland,Directed,1
Sveinung Rotevatn,Lene Westgaard-Halle,Directed,1
Sveinung Rotevatn,Mani Hussaini,Directed,1
Sveinung Rotevatn,Lise Christoffersen,Directed,1
Sveinung Rotevatn,Tina Bru,Directed,1
Sveinung Rotevatn,Lene Vågslid,Directed,1
Sveinung Rotevatn,Helge Andre Njåstad,Directed,1
Sveinung Rotevatn,Kjersti Toppe,Directed,1
Sveinung Rotevatn,Erlend Wiborg,Directed,1
Sveinung Rotevatn,Sverre Myrli,Directed,1
Sveinung Rotevatn,Åsmund Aukrust,Directed,1
Sveinung Rotevatn,Ola Elvestuen,Directed,1
Sveinung Rotevatn,Linda H. Helleland,Directed,1
Sveinung Rotevatn,Dag-Inge,Directed,1
Sveinung Rotevatn,Andre N Skjelstad,Directed,1
Sveinung Rotevatn,Rasmus JM Hansson,Directed,1
Sveinung Rotevatn,Kamzy Gunaratnam,Directed,1
Sveinung Rotevatn,Anniken Huitfeldt,Directed,1
