,id,name,username,No_following,No_follower,No_tweet
102,2645220702,Hårek Elvenes,HarekElvenes,500,819,378
103,2924816561,Olaug Vervik,OBollestad,1270,2692,679
104,3119889670,Siv Mossleth,SMossleth,97,104,60
105,3154670134,Olve Grotle,OlveGrotle,28,186,28
106,3173897338,Hege Bae Nyholt ,bae_hege,0,20,0
107,4205180009,Mahmoud Farahmand,Farahmand79,162,635,97
108,4918859500,Odd Harald Hovland,Hovland_OddH,3,5,0
109,806245817082331136,Geir Inge Lien,GilieInge,20,1,0
110,811340054085992448,Else Marie Rødby,dethunsa,41,19,0
111,838111239750447104,Bjørnar Skjæran,bjoskj,199,1150,459
112,907517876973834241,Ingvild Wetrhus Thorsvik,ingvild_wetrhus,131,1235,46
113,963484827130441728,Grete Wold,WoldGrete,86,28,0
114,1033374143461425152,Mona Fagerås,monapatinget,109,349,71
115,1039464996575608833,Erlend Svardal Bøe,ErlendSBoe,349,179,8
116,1144998245745270784,Sylvi Listhaug,DonaldT52183188,0,161,1
117,1169496036097875968,Bengt Rune Strifeldt,askepott55101,167,45,113
118,1250443298751295488,Trine Lise Sundnes,aptrinelise,55,21,12
119,1325364366615646213,Frank Edvard,SveFrank,9,20,2
120,1325404675554897921,Marit Arnstad,MaritArnstad,107,113,13
121,1325878475207610368,Åslaug Sem-Jacobsen,AslaugSJacobsen,138,50,1
122,1352156535510728709,Terje Sørvik,TerjeSorvik,33,30,3
123,1410173753590534144,Liv Kari Eskeland,EskelandLiv,16,57,38
124,1427356608565293057,Margret,N00binnen,217,14,0
125,1443863355123552273,Ingjerd Schou,schou_ingjerd,4,11,2
126,1448974347536932864,Andreas Sjalg Unneland,AUnneland,29,217,2
127,1450014429660205056,Emilie Mehl,EmilieMehl,1,116,0
128,1454512707131084803,Anja Ninasdotter Abusland,anja_N_abusland,85,20,0
129,1483466822947069954,Birgit Oline Kjerstad,birgit_oline,44,9,2
