"","E-I Index","Reciprocity","Density","Diameter","Components","Isolates"
"Following",0.3342175066313,0.656763925729443,0.132783882783883,4,46,45
"Mention",0.359139784946237,0.114790286975717,0.0163778529163145,10,65,61
