Target,Source
333903537,19764533,2
333903537,112871323,1
333903537,26708613,1
338369157,34941106,5
338369157,21423985,1
338369157,30941476,3
338369157,20301193,1
338369157,32535843,4
338369157,295361148,2
338369157,18387289,1
361852315,244983461,2
361852315,1382743280,1
361852315,333903537,6
361852315,1410173753590534144,1
361852315,20611702,4
361852315,262164620,1
361852315,524326247,5
361852315,361852315,1
361852315,29928571,4
369395471,30759351,2
369395471,19157451,1
369395471,45565446,1
369395471,26837025,2
369395471,369395471,15
369395471,19119226,4
369395471,19764533,3
369395471,101727020,6
369395471,86154361,2
369395471,20301193,1
369395471,27317182,3
369395471,21423985,3
419788091,34656014,1
419788091,20611702,2
419788091,333903537,6
419788091,42042554,3
419788091,45565446,2
419788091,32535843,2
419788091,101727020,2
419788091,30941476,2
419788091,16432083,1
471837649,30941476,24
471837649,26837025,1
471837649,21423985,8
471837649,29928571,2
471837649,45565446,2
473914976,19764533,1
473914976,34656014,1
514596967,38260259,1
514596967,473914976,1
524326247,1382743280,1
524326247,333903537,4
524326247,30941476,28
524326247,21423985,6
524326247,1033374143461425152,1
524326247,112871323,1
552236475,552236475,1
600758713,63425851,2
600758713,37677256,1
600758713,600758713,2
600758713,21746816,1
819168234,333903537,1
819168234,38260259,3
887106534,887106534,1
899800400,1382743280,1
899800400,29928571,1
899800400,34941106,2
899800400,19764533,1
899800400,225341716,3
899800400,899800400,1
951333086,20611702,22
951333086,30759351,10
951333086,30941476,1
951333086,19764533,1
951333086,38260259,1
1103749050,19764533,8
1103749050,34656014,1
1103749050,14687587,1
1103749050,1103749050,3
1103749050,29928571,3
1103749050,317034318,1
1103749050,524326247,2
1269692077,38260259,2
1269692077,112871323,2
1269692077,29928571,1
1269692077,19764533,7
1269692077,42042554,2
1269692077,20868447,3
1382743280,361852315,1
1382743280,524326247,1
1382743280,34656014,3
1382743280,34941106,1
1382743280,18387289,1
1551459979,26708613,3
1551459979,361852315,1
1640414335,32535843,1
1640414335,26837025,1
1640414335,34656014,1
1640414335,18293645,2
1640414335,29928571,3
1728936764,38260259,3
1728936764,1728936764,2
1728936764,45565446,1
2228363243,819168234,6
2228363243,38260259,3
2228363243,317034318,1
2428650736,32535843,2
2428650736,279131939,1
2537682190,38260259,3
2537682190,112871323,2
2537682190,19764533,2
2537682190,262164620,4
2537682190,34656014,4
2537682190,29928571,1
2605255273,34941106,1
2605255273,18387289,2
2605255273,361852315,1
2605255273,1410173753590534144,1
2605255273,295361148,1
2605255273,333903537,1
2605255273,20611702,1
2605255273,112871323,2
2645220702,333903537,1
2645220702,34941106,1
2924816561,244983461,2
2924816561,1382743280,1
2924816561,34656014,19
2924816561,30759351,1
2924816561,30941476,1
2924816561,28361716,1
3119889670,30941476,1
3119889670,32535843,1
3154670134,,0
3173897338,86154361,1
4205180009,37677256,1
4205180009,38769939,1
4918859500,,0
806245817082331136,,0
811340054085992448,,0
838111239750447104,112871323,1
838111239750447104,473914976,7
838111239750447104,38260259,1
838111239750447104,34656014,1
838111239750447104,21746816,1
838111239750447104,18387289,1
907517876973834241,21423985,1
907517876973834241,361852315,1
963484827130441728,,0
1033374143461425152,838111239750447104,3
1033374143461425152,112871323,1
1039464996575608833,244983461,2
1039464996575608833,1382743280,1
1144998245745270784,,0
1169496036097875968,,0
1250443298751295488,,0
1325364366615646213,234132789,3
1325404675554897921,262164620,1
1325404675554897921,34941106,3
1325404675554897921,225341716,1
1325404675554897921,524326247,2
1325404675554897921,473914976,1
1325878475207610368,32535843,2
1325878475207610368,20301193,1
1352156535510728709,,0
1410173753590534144,361852315,1
1410173753590534144,38260259,1
1427356608565293057,,0
1443863355123552273,,0
1448974347536932864,34941106,1
1450014429660205056,37677256,1
1454512707131084803,,0
1483466822947069954,,0
